Name,Info1,Info2,Discount %,Price,Rating,Release
Witch It,,,-80%,"R$ 11,99",86.67%,Oct 2020
Neon Chrome,,,-60%,"R$ 18,79",86.47%,Apr 2016
Men of War™,,,-85%,"R$ 2,54",86.46%,May 2009
Battle Brothers,,,-50%,"R$ 34,99",86.43%,Mar 2017
Sex and the Furry Titty 2: Sins of the City,,,-50%,"R$ 16,49",86.35%,Sep 2022
Grand Theft Auto V,,,-65%,"R$ 38,63",86.33%,Apr 2015
Scythe: Digital Edition,Week Long Deal,"all-time low: R$ 15,19 at -60%",-60%,"R$ 23,99",86.18%,Sep 2018
Icewind Dale: Enhanced Edition,Week Long Deal,"2-year low: R$ 9,49",-80%,"R$ 11,99",86.16%,Oct 2014
Mini Ninjas,,,-85%,"R$ 5,23",86.14%,Sep 2009
Supreme Commander 2,,,-75%,"R$ 13,72",86.10%,Mar 2010
Jurassic World Evolution 2,,,-70%,"R$ 32,99",86.10%,Nov 2021
Octogeddon,Week Long Deal,"all-time low: R$ 6,79 at -64%",-50%,"R$ 9,44",86.05%,Feb 2018
The Longest Journey,Week Long Deal,"2-year low: R$ 7,49",-60%,"R$ 13,19",86.01%,Nov 2000
Knightfall: A Daring Journey,,,-50%,"R$ 8,99",86.00%,Apr 2022
Sex and the Furry Titty,,,-60%,"R$ 9,40",85.86%,Jun 2021
Sanctum,,,-80%,"R$ 6,59",85.83%,Apr 2011
Golden Light,,,-50%,"R$ 29,99",85.76%,Mar 2022
Minit,,,-80%,"R$ 6,59",85.74%,Apr 2018
Stronghold 2: Steam Edition,Week Long Deal,"all-time low: R$ 6,99 at -75%",-70%,"R$ 8,39",85.72%,—
Olija,,,-70%,"R$ 14,09",85.67%,Jan 2021
Oknytt,Week Long Deal,"all-time low: R$ 1,04 at -90%",-83%,"R$ 1,78",85.66%,Jul 2013
Star Valor,,,-60%,"R$ 29,59",85.66%,Aug 2022
UBERMOSH,,,-90%,"R$ 1,74",85.46%,Aug 2015
Supreme Commander,,,-80%,"R$ 6,79",85.42%,Feb 2007
Tallowmere,,,-75%,"R$ 3,44",85.41%,Mar 2015
The Inner World,,,-90%,"R$ 4,69",85.38%,Sep 2013
Hydroneer,Week Long Deal,"all-time low: R$ 14,48 at -30%",-50%,"R$ 23,49",85.33%,May 2020
FlatOut: Ultimate Carnage Collector's Edition,,,-80%,"R$ 13,99",85.31%,Aug 2008
Heroes of Hammerwatch,,,-60%,"R$ 15,39",85.27%,Mar 2018
Prison Run and Gun,Week Long Deal,"all-time low: R$ 1,08 at -90%",-80%,"R$ 2,75",85.20%,Mar 2016
Men of War: Assault Squad,,,-90%,"R$ 3,29",85.17%,Feb 2011
Marc Eckō's Getting Up: Contents Under Pressure,,,-90%,"R$ 4,69",85.16%,Feb 2006
